Subject,Country,Year,Unit,Power,Value
Real value added in professional; scientific; technical; administration and support services activities,Norway,2013,Growth rate,Units,2.940545
Real value added in professional; scientific; technical; administration and support services activities,Norway,2014,Growth rate,Units,1.220328
Real value added in professional; scientific; technical; administration and support services activities,Norway,2015,Growth rate,Units,-4.059001
Inward FDI stocks,Slovak Republic,2011,US Dollar,Millions,51977.549000
Inward FDI stocks,Slovak Republic,2012,US Dollar,Millions,55118.484000
Inward FDI stocks,Slovak Republic,2013,US Dollar,Millions,58022.169000
Inward FDI stocks,Slovak Republic,2014,US Dollar,Millions,52310.414000
Proportions of total public expenditure in pre-primary education,New Zealand,2012,Ratio,Units,86.606626
Re-exported intermediates: Business services,Greece,2011,Percentage,Units,36.890000
 Life expectancy at birth: total,Estonia,2011,Years,Units,76.400000
 Life expectancy at birth: total,Estonia,2012,Years,Units,76.500000
 Life expectancy at birth: total,Estonia,2013,Years,Units,77.300000
 Life expectancy at birth: total,Estonia,2014,Years,Units,77.200000
 Life expectancy at birth: total,Estonia,2015,Years,Units,77.700000
Real value added in construction,United Kingdom,2011,Growth rate,Units,2.199575
Real value added in construction,United Kingdom,2012,Growth rate,Units,-6.886512
Real value added in construction,United Kingdom,2013,Growth rate,Units,1.455799
Real value added in construction,United Kingdom,2014,Growth rate,Units,8.804769
Real value added in construction,United Kingdom,2015,Growth rate,Units,4.403586
International students in short-cycle tertiary programmes,New Zealand,2013,Percentage,Units,20.719149
Manufacturing,Luxembourg,2011,Index,Units,0.000000
Manufacturing,Luxembourg,2012,Index,Units,0.000000
Manufacturing,Luxembourg,2013,Index,Units,0.000000
Manufacturing,Luxembourg,2014,Index,Units,0.000000
Manufacturing,Luxembourg,2015,Index,Units,0.000000
Students with three or more computers at home : percentage (at school),Estonia,2012,Percentage,Units,37.278646
Number of enterprises in manufacturing with 50-249 persons engaged,New Zealand,2012,Percentage,Units,4.938061
Re-exported intermediates: Wood paper; paper products; printing and publishing,Netherlands,2011,Percentage,Units,31.660000
Value added in other services activities,Hungary,2011,Percentage,Units,4.753575
Value added in other services activities,Hungary,2012,Percentage,Units,4.547738
Value added in other services activities,Hungary,2013,Percentage,Units,4.047960
Value added in other services activities,Hungary,2014,Percentage,Units,3.797701
Value added in other services activities,Hungary,2015,Percentage,Units,3.460161
Re-exported intermediates: Agriculture; hunting; forestry and fishing,Slovenia,2011,Percentage,Units,37.710000
Employment rates: women,France,2011,Ratio,Units,59.700000
Employment rates: women,France,2012,Ratio,Units,60.075000
Employment rates: women,France,2013,Ratio,Units,60.350000
Employment rates: women,France,2014,Ratio,Units,60.325000
Employment rates: women,France,2015,Ratio,Units,60.650000
Indices of price levels,Spain,2011,OECD=100,Units,95.000000
Indices of price levels,Spain,2012,OECD=100,Units,88.000000
Indices of price levels,Spain,2013,OECD=100,Units,91.000000
Indices of price levels,Spain,2014,OECD=100,Units,91.000000
Indices of price levels,Spain,2015,OECD=100,Units,83.000000
Total fertility rates,Czech Republic,2011,Number,Units,1.430000
Total fertility rates,Czech Republic,2012,Number,Units,1.450000
Total fertility rates,Czech Republic,2013,Number,Units,1.460000
Students with at least one computer at home: standard-error,Israel,2012,Standard-error,Units,0.355261
Proportions of total public expenditure in pre-primary education,Belgium,2012,Ratio,Units,96.279376
CPI: all items,Norway,2011,Growth rate,Units,1.284952
CPI: all items,Norway,2012,Growth rate,Units,0.696864
CPI: all items,Norway,2013,Growth rate,Units,2.120486
CPI: all items,Norway,2014,Growth rate,Units,2.041703
CPI: all items,Norway,2015,Growth rate,Units,2.171137
Number of employees in manufacturing in enterprises with less than 10 persons engaged,Denmark,2012,Percentage,Units,8.326975
 Obesity rate among the adult population,Russia,2014,Percentage,Units,19.600000
Re-exported intermediates: Business services,Switzerland,2011,Percentage,Units,52.110000
Students using computers at school: standard-error,Germany,2012,Standard-error,Units,1.252793
Foreign students in Doctoral or equivalent level,Turkey,2013,Percentage,Units,4.493503
Re-exported intermediates: Chemicals and non-metallic mineral products,Denmark,2011,Percentage,Units,54.720000
Value added in public administration; defence; education human health and social work activities,Slovak Republic,2011,Percentage,Units,13.975688
Value added in public administration; defence; education human health and social work activities,Slovak Republic,2012,Percentage,Units,13.824326
Value added in public administration; defence; education human health and social work activities,Slovak Republic,2013,Percentage,Units,14.268307
Value added in public administration; defence; education human health and social work activities,Slovak Republic,2014,Percentage,Units,13.431999
Value added in public administration; defence; education human health and social work activities,Slovak Republic,2015,Percentage,Units,13.303638
Ratio of pupils to teaching staff full-time(ISCED 02),Portugal,2013,Ratio,Units,16.586596
Population growth rates,Chile,2011,Growth rate,Units,1.109712
Population growth rates,Chile,2012,Growth rate,Units,1.096878
Population growth rates,Chile,2013,Growth rate,Units,1.070692
Population growth rates,Chile,2014,Growth rate,Units,1.063291
 Life expectancy at birth: total,Ireland,2011,Years,Units,80.800000
 Life expectancy at birth: total,Ireland,2012,Years,Units,80.900000
 Life expectancy at birth: total,Ireland,2013,Years,Units,81.000000
 Life expectancy at birth: total,Ireland,2014,Years,Units,81.400000
 Life expectancy at birth: total,Ireland,2015,Years,Units,81.500000
CPI: energy,Turkey,2011,Growth rate,Units,9.853599
CPI: energy,Turkey,2012,Growth rate,Units,13.873070
CPI: energy,Turkey,2013,Growth rate,Units,7.485767
CPI: energy,Turkey,2014,Growth rate,Units,2.519825
CPI: energy,Turkey,2015,Growth rate,Units,-1.938833
Distribution,Canada,2011,Index,Units,0.110000
Distribution,Canada,2012,Index,Units,0.110000
Distribution,Canada,2013,Index,Units,0.110000
Distribution,Canada,2014,Index,Units,0.110000
Distribution,Canada,2015,Index,Units,0.100000
Value added in professional; scientific; technical; administration and support services activities,Italy,2011,Percentage,Units,9.395504
Value added in professional; scientific; technical; administration and support services activities,Italy,2012,Percentage,Units,9.414477
Value added in professional; scientific; technical; administration and support services activities,Italy,2013,Percentage,Units,9.387461
Value added in professional; scientific; technical; administration and support services activities,Italy,2014,Percentage,Units,9.493407
Value added in professional; scientific; technical; administration and support services activities,Italy,2015,Percentage,Units,9.519001
International students in Masterâ€™s or equivalent level,Luxembourg,2013,Percentage,Units,67.084378
Re-exported intermediates: Basic metals and fabricated metal products,Korea,2011,Percentage,Units,56.610000
Private expenditure in tertiary education as a percentage of total expenditures,France,2012,Percentage,Units,20.166348
Inward FDI stocks,Finland,2013,US Dollar,Millions,87095.518000
Inward FDI stocks,Finland,2014,US Dollar,Millions,93427.730000
Re-exported intermediates: Machinery and equipment,Israel,2011,Percentage,Units,50.530000
Re-exported intermediates: Transport equipment,Estonia,2011,Percentage,Units,61.260000
Number of 15-year-old students per school computer: mean,Austria,2012,Average score,Units,2.922891
Students with three or more computers at home : standard-error (at school),Sweden,2012,Standard-error,Units,0.666727
Proportions of total public expenditure in pre-primary education,Poland,2012,Ratio,Units,76.137739
Proportions of total public expenditure in all early childhood education,Chile,2012,Ratio,Units,82.261946
Population growth rates,Mexico,2011,Growth rate,Units,1.249228
Population growth rates,Mexico,2012,Growth rate,Units,1.185035
Population growth rates,Mexico,2013,Growth rate,Units,1.145887
Population growth rates,Mexico,2014,Growth rate,Units,1.113177
Change in expenditure per student in primary; secondary and post-secondary non-tertiary education,Hungary,2012,Index,Units,83.114873
Relative poverty rates: Retirement-age population (over 65),Czech Republic,2011,Ratio,Units,0.025000
Relative poverty rates: Retirement-age population (over 65),Czech Republic,2012,Ratio,Units,0.023000
Relative poverty rates: Retirement-age population (over 65),Czech Republic,2013,Ratio,Units,0.026000
Relative poverty rates: Retirement-age population (over 65),Czech Republic,2014,Ratio,Units,0.037000
Relative poverty rates: Retirement-age population (over 65),Czech Republic,2015,Ratio,Units,0.042000
Manufacturing,Slovak Republic,2011,Index,Units,0.000000
Manufacturing,Slovak Republic,2012,Index,Units,0.000000
Manufacturing,Slovak Republic,2013,Index,Units,0.000000
Manufacturing,Slovak Republic,2014,Index,Units,0.000000
Manufacturing,Slovak Republic,2015,Index,Units,0.000000
Number of enterprises in manufacturing with 50-249 persons engaged,France,2012,Percentage,Units,2.723718
International students in Bachelorâ€™s or equivalent level,Norway,2013,Percentage,Units,1.756102
Re-exported intermediates: Chemicals and non-metallic mineral products,New Zealand,2011,Percentage,Units,29.610000
Total abstractions,China (People's Republic of),2011,Cubic metres,Millions,605340.000000
Total abstractions,China (People's Republic of),2012,Cubic metres,Millions,608660.000000
Re-exported intermediates: Business services,France,2011,Percentage,Units,34.180000
Greenhouse gas emissions,Australia,2011,Tonnes,Thousands,540445.360000
Greenhouse gas emissions,Australia,2012,Tonnes,Thousands,543593.860000
Greenhouse gas emissions,Australia,2013,Tonnes,Thousands,533313.690000
Greenhouse gas emissions,Australia,2014,Tonnes,Thousands,527325.580000
Greenhouse gas emissions,Australia,2015,Tonnes,Thousands,537550.850000
 Infant mortality,Germany,2011,Deaths per 1 000 live births,Units,3.600000
 Infant mortality,Germany,2012,Deaths per 1 000 live births,Units,3.300000
 Infant mortality,Germany,2013,Deaths per 1 000 live births,Units,3.300000
Students with at least one computer at home: standard-error,Russia,2012,Standard-error,Units,0.700947
Business services,Ireland,2011,Index,Units,0.000000
Business services,Ireland,2012,Index,Units,0.000000
Business services,Ireland,2013,Index,Units,0.000000
Business services,Ireland,2014,Index,Units,0.000000
Business services,Ireland,2015,Index,Units,0.000000
Value added in public administration; defence; education human health and social work activities,Greece,2011,Percentage,Units,22.210260
Value added in public administration; defence; education human health and social work activities,Greece,2012,Percentage,Units,21.256985
Value added in public administration; defence; education human health and social work activities,Greece,2013,Percentage,Units,20.506287
Value added in public administration; defence; education human health and social work activities,Greece,2014,Percentage,Units,20.855104
Value added in public administration; defence; education human health and social work activities,Greece,2015,Percentage,Units,20.692947
Purchasing power parities,United Kingdom,2011,National currency per US dollar,Units,0.706052
Purchasing power parities,United Kingdom,2012,National currency per US dollar,Units,0.701634
Purchasing power parities,United Kingdom,2013,National currency per US dollar,Units,0.695248
Purchasing power parities,United Kingdom,2014,National currency per US dollar,Units,0.698444
Purchasing power parities,United Kingdom,2015,National currency per US dollar,Units,0.692365
Real value added in other services activities,Estonia,2011,Growth rate,Units,4.466329
Real value added in other services activities,Estonia,2012,Growth rate,Units,7.010414
Real value added in other services activities,Estonia,2013,Growth rate,Units,4.870227
Real value added in other services activities,Estonia,2014,Growth rate,Units,3.342141
Real value added in other services activities,Estonia,2015,Growth rate,Units,2.364237
Ratio of nurses to physicians,Canada,2014,Ratio,Units,4.167286
 Obesity rate among the adult population,Brazil,2014,Percentage,Units,17.500000
Proportions of total public expenditure in early childhood educational development,Iceland,2012,Ratio,Units,88.286964
CPI: energy,Netherlands,2011,Growth rate,Units,8.239448
CPI: energy,Netherlands,2012,Growth rate,Units,7.010102
CPI: energy,Netherlands,2013,Growth rate,Units,0.738377
CPI: energy,Netherlands,2014,Growth rate,Units,-1.644681
CPI: energy,Netherlands,2015,Growth rate,Units,-5.594587
 Life expectancy at birth: women,Korea,2011,Years,Units,84.000000
 Life expectancy at birth: women,Korea,2012,Years,Units,84.200000
 Life expectancy at birth: women,Korea,2013,Years,Units,84.600000
 Life expectancy at birth: women,Korea,2014,Years,Units,85.000000
 Life expectancy at birth: women,Korea,2015,Years,Units,85.200000
CPI: food,Denmark,2011,Growth rate,Units,3.962196
CPI: food,Denmark,2012,Growth rate,Units,4.291958
CPI: food,Denmark,2013,Growth rate,Units,0.427458
CPI: food,Denmark,2014,Growth rate,Units,-0.867969
CPI: food,Denmark,2015,Growth rate,Units,1.035528
Total FDI Index,Australia,2011,Index,Units,0.128000
Total FDI Index,Australia,2012,Index,Units,0.128000
Total FDI Index,Australia,2013,Index,Units,0.128000
Total FDI Index,Australia,2014,Index,Units,0.127000
Total FDI Index,Australia,2015,Index,Units,0.140000
Number of 15-year-old students per school computer: mean,Hungary,2012,Average score,Units,2.222396
Number of 15-year-old students per school computer: standard-error,Slovak Republic,2012,Standard-error,Units,0.236423
Foreign students in total tertiary education,Italy,2013,Percentage,Units,4.409959
Employment rates: men,Chile,2011,Ratio,Units,73.599530
Employment rates: men,Chile,2012,Ratio,Units,73.613030
Employment rates: men,Chile,2013,Ratio,Units,73.759000
Employment rates: men,Chile,2014,Ratio,Units,72.761470
Employment rates: men,Chile,2015,Ratio,Units,72.996750
Public expenditure in tertiary education as a percentage of total expenditures,Netherlands,2012,Percentage,Units,70.518043
 Life expectancy at birth: men,Israel,2011,Years,Units,79.900000
 Life expectancy at birth: men,Israel,2012,Years,Units,79.900000
 Life expectancy at birth: men,Israel,2013,Years,Units,80.300000
 Life expectancy at birth: men,Israel,2014,Years,Units,80.300000
 Life expectancy at birth: men,Israel,2015,Years,Units,80.100000
Indices of price levels,Indonesia,2011,OECD=100,Units,39.000000
Indices of price levels,Indonesia,2012,OECD=100,Units,39.000000
Indices of price levels,Indonesia,2013,OECD=100,Units,37.000000
Indices of price levels,Indonesia,2014,OECD=100,Units,34.000000
Indices of price levels,Indonesia,2015,OECD=100,Units,34.000000
Outward FDI stocks,Mexico,2011,US Dollar,Millions,114265.460000
Outward FDI stocks,Mexico,2012,US Dollar,Millions,148203.660000
Outward FDI stocks,Mexico,2013,US Dollar,Millions,136523.030000
Outward FDI stocks,Mexico,2014,US Dollar,Millions,134058.260000
Re-exported intermediates: Transport equipment,Ireland,2011,Percentage,Units,73.950000
International students in short-cycle tertiary programmes,France,2013,Percentage,Units,4.170760
Relative poverty rates: Children (age 0-17),Spain,2011,Ratio,Units,0.212000
Relative poverty rates: Children (age 0-17),Spain,2012,Ratio,Units,0.209000
Relative poverty rates: Children (age 0-17),Spain,2013,Ratio,Units,0.235000
Relative poverty rates: Children (age 0-17),Spain,2014,Ratio,Units,0.227000
Relative poverty rates: Children (age 0-17),Spain,2015,Ratio,Units,0.221000
Relative poverty rates: Working-age population (age 18-65),Chile,2011,Ratio,Units,0.161000
Relative poverty rates: Working-age population (age 18-65),Chile,2013,Ratio,Units,0.148000
Relative poverty rates: Working-age population (age 18-65),Chile,2015,Ratio,Units,0.142000
Primary sector,Hungary,2011,Index,Units,0.000000
Primary sector,Hungary,2012,Index,Units,0.000000
Primary sector,Hungary,2013,Index,Units,0.000000
Primary sector,Hungary,2014,Index,Units,0.000000
Primary sector,Hungary,2015,Index,Units,0.000000
Electricity,Switzerland,2011,Index,Units,0.500000
Electricity,Switzerland,2012,Index,Units,0.500000
Electricity,Switzerland,2013,Index,Units,0.500000
Electricity,Switzerland,2014,Index,Units,0.500000
Electricity,Switzerland,2015,Index,Units,0.500000
Value added in other services activities,Portugal,2011,Percentage,Units,7.006919
Value added in other services activities,Portugal,2012,Percentage,Units,6.289053
Value added in other services activities,Portugal,2013,Percentage,Units,5.511929
Value added in other services activities,Portugal,2014,Percentage,Units,5.343881
Value added in other services activities,Portugal,2015,Percentage,Units,5.255304
 Infant mortality,Slovenia,2011,Deaths per 1 000 live births,Units,2.900000
 Infant mortality,Slovenia,2012,Deaths per 1 000 live births,Units,1.600000
 Infant mortality,Slovenia,2013,Deaths per 1 000 live births,Units,2.900000
Re-exported intermediates: Wood paper; paper products; printing and publishing,Finland,2011,Percentage,Units,40.340000
International students in Bachelorâ€™s or equivalent level,Canada,2013,Percentage,Units,7.330889
Financial services,Belgium,2011,Index,Units,0.024000
Financial services,Belgium,2012,Index,Units,0.024000
Financial services,Belgium,2013,Index,Units,0.024000
Financial services,Belgium,2014,Index,Units,0.024000
Financial services,Belgium,2015,Index,Units,0.024000
Re-exported intermediates: Food products; beverages and tobacco,Switzerland,2011,Percentage,Units,30.290000
Employment rates: women,Poland,2011,Ratio,Units,52.700000
Employment rates: women,Poland,2012,Ratio,Units,53.125000
Employment rates: women,Poland,2013,Ratio,Units,53.375000
Employment rates: women,Poland,2014,Ratio,Units,55.175000
Employment rates: women,Poland,2015,Ratio,Units,56.600000
Real value added in public administration; defence; education human health and social work activities,Belgium,2011,Growth rate,Units,0.534325
Real value added in public administration; defence; education human health and social work activities,Belgium,2012,Growth rate,Units,1.875312
Real value added in public administration; defence; education human health and social work activities,Belgium,2013,Growth rate,Units,0.933398
Real value added in public administration; defence; education human health and social work activities,Belgium,2014,Growth rate,Units,0.796787
Real value added in public administration; defence; education human health and social work activities,Belgium,2015,Growth rate,Units,-0.112447
 Infant mortality,Sweden,2011,Deaths per 1 000 live births,Units,2.100000
 Infant mortality,Sweden,2012,Deaths per 1 000 live births,Units,2.600000
 Infant mortality,Sweden,2013,Deaths per 1 000 live births,Units,2.700000
Students browsing the Internet for schoolwork at least once a week : standard-error (at school),Switzerland,2012,Standard-error,Units,0.875349
Proportions of total public expenditure in early childhood educational development,Slovenia,2012,Ratio,Units,75.470816
CPI: energy,Austria,2011,Growth rate,Units,10.933130
CPI: energy,Austria,2012,Growth rate,Units,4.881712
CPI: energy,Austria,2013,Growth rate,Units,-0.802005
CPI: energy,Austria,2014,Growth rate,Units,-2.028441
CPI: energy,Austria,2015,Growth rate,Units,-7.295769
 Life expectancy at birth: total,Indonesia,2011,Years,Units,68.400000
 Life expectancy at birth: total,Indonesia,2012,Years,Units,68.600000
 Life expectancy at birth: total,Indonesia,2013,Years,Units,68.800000
 Life expectancy at birth: total,Indonesia,2014,Years,Units,68.900000
 Life expectancy at birth: total,Indonesia,2015,Years,Units,69.100000
Relative poverty rates: Children (age 0-17),Hungary,2012,Ratio,Units,0.165000
Relative poverty rates: Children (age 0-17),Hungary,2014,Ratio,Units,0.118000
Manufacturing,India,2011,Index,Units,0.055000
Manufacturing,India,2012,Index,Units,0.055000
Manufacturing,India,2013,Index,Units,0.048000
Manufacturing,India,2014,Index,Units,0.048000
Manufacturing,India,2015,Index,Units,0.046000
Employment rates: men,OECD - Total,2011,Ratio,Units,72.878460
Employment rates: men,OECD - Total,2012,Ratio,Units,73.012080
Employment rates: men,OECD - Total,2013,Ratio,Units,73.038410
Employment rates: men,OECD - Total,2014,Ratio,Units,73.569980
Employment rates: men,OECD - Total,2015,Ratio,Units,74.119170
Change in expenditure in tertiary education,Brazil,2012,Index,Units,148.781320
Relative poverty rates: Entire population,Australia,2012,Ratio,Units,0.140000
Relative poverty rates: Entire population,Australia,2014,Ratio,Units,0.128000
 Life expectancy at birth: men,South Africa,2011,Years,Units,53.500000
 Life expectancy at birth: men,South Africa,2012,Years,Units,54.200000
 Life expectancy at birth: men,South Africa,2013,Years,Units,54.700000
 Life expectancy at birth: men,South Africa,2014,Years,Units,55.200000
 Life expectancy at birth: men,South Africa,2015,Years,Units,55.500000
Total abstractions,Russia,2011,Cubic metres,Millions,68652.000000
Total abstractions,Russia,2012,Cubic metres,Millions,66296.000000
Total abstractions,Russia,2013,Cubic metres,Millions,65104.000000
Total abstractions,Russia,2014,Cubic metres,Millions,64807.000000
Total abstractions,Russia,2015,Cubic metres,Millions,62163.000000
Number of 15-year-old students per school computer: mean,Turkey,2012,Average score,Units,44.929204
Annual expenditure per student in pre-primary education,Australia,2012,US Dollar,Units,10298.387000
CPI: energy,European Union (28 countries),2011,Growth rate,Units,11.300000
CPI: energy,European Union (28 countries),2012,Growth rate,Units,7.100000
CPI: energy,European Union (28 countries),2013,Growth rate,Units,0.700000
CPI: energy,European Union (28 countries),2014,Growth rate,Units,-1.600000
CPI: energy,European Union (28 countries),2015,Growth rate,Units,-6.600000
Financial services,Luxembourg,2011,Index,Units,0.002000
Financial services,Luxembourg,2012,Index,Units,0.002000
Financial services,Luxembourg,2013,Index,Units,0.002000
Financial services,Luxembourg,2014,Index,Units,0.002000
Financial services,Luxembourg,2015,Index,Units,0.002000
GDP per capita,United States,2011,US Dollar,Units,49800.326000
GDP per capita,United States,2012,US Dollar,Units,51521.459000
GDP per capita,United States,2013,US Dollar,Units,53016.289000
GDP per capita,United States,2014,US Dollar,Units,54935.200000
GDP per capita,United States,2015,US Dollar,Units,56700.880000
Students browsing the Internet for schoolwork at least once a week : standard-error (at school),Ireland,2012,Standard-error,Units,1.105750
 Life expectancy at birth: men,United Kingdom,2011,Years,Units,79.000000
 Life expectancy at birth: men,United Kingdom,2012,Years,Units,79.100000
 Life expectancy at birth: men,United Kingdom,2013,Years,Units,79.200000
 Life expectancy at birth: men,United Kingdom,2014,Years,Units,79.500000
 Life expectancy at birth: men,United Kingdom,2015,Years,Units,79.200000
International students in Doctoral or equivalent level,Australia,2013,Percentage,Units,32.961188
Ratio of pupils to teaching staff full-time(ISCED 02),Indonesia,2013,Ratio,Units,21.286267
Expenditure per student in all secondary education,Indonesia,2012,US Dollar,Units,981.052350
Relative poverty rates: Retirement-age population (over 65),Netherlands,2011,Ratio,Units,0.019000
Relative poverty rates: Retirement-age population (over 65),Netherlands,2012,Ratio,Units,0.019000
Relative poverty rates: Retirement-age population (over 65),Netherlands,2013,Ratio,Units,0.025000
Relative poverty rates: Retirement-age population (over 65),Netherlands,2014,Ratio,Units,0.023000
Relative poverty rates: Retirement-age population (over 65),Netherlands,2015,Ratio,Units,0.027000
Poverty gap entire population,Iceland,2011,Average score,Units,0.350000
Poverty gap entire population,Iceland,2012,Average score,Units,0.291000
Poverty gap entire population,Iceland,2013,Average score,Units,0.285000
Transport,Greece,2011,Index,Units,0.150000
Transport,Greece,2012,Index,Units,0.150000
Transport,Greece,2013,Index,Units,0.150000
Transport,Greece,2014,Index,Units,0.150000
Transport,Greece,2015,Index,Units,0.150000
GDP per capita,Ireland,2011,US Dollar,Units,44952.723000
GDP per capita,Ireland,2012,US Dollar,Units,46304.199000
GDP per capita,Ireland,2013,US Dollar,Units,48006.067000
GDP per capita,Ireland,2014,US Dollar,Units,51250.484000
GDP per capita,Ireland,2015,US Dollar,Units,69050.408000
Re-exported intermediates: Wood paper; paper products; printing and publishing,Russia,2011,Percentage,Units,27.650000
Ratio of nurses to physicians,Mexico,2014,Ratio,Units,1.211331
 Life expectancy at birth: men,Iceland,2011,Years,Units,80.700000
 Life expectancy at birth: men,Iceland,2012,Years,Units,81.600000
 Life expectancy at birth: men,Iceland,2013,Years,Units,80.500000
 Life expectancy at birth: men,Iceland,2014,Years,Units,81.300000
 Life expectancy at birth: men,Iceland,2015,Years,Units,81.200000
Re-exported intermediates: Machinery and equipment,Luxembourg,2011,Percentage,Units,84.950000
Students browsing the Internet for schoolwork at least once a week Percentage (at school),Belgium,2012,Percentage,Units,29.395640
Students with three or more computers at home : percentage (at school),New Zealand,2012,Percentage,Units,41.604604
International students in Doctoral or equivalent level,Mexico,2013,Percentage,Units,2.578059
Ratio of pupils to teaching staff full-time(ISCED 01),Austria,2013,Ratio,Units,8.938188
Proportions of total public expenditure in all early childhood education,Germany,2012,Ratio,Units,76.057581
CPI: all items non food non energy,Poland,2011,Growth rate,Units,2.400000
CPI: all items non food non energy,Poland,2012,Growth rate,Units,2.175000
CPI: all items non food non energy,Poland,2013,Growth rate,Units,1.175000
CPI: all items non food non energy,Poland,2014,Growth rate,Units,0.641667
CPI: all items non food non energy,Poland,2015,Growth rate,Units,0.325000
 Life expectancy at birth: women,Austria,2011,Years,Units,83.800000
 Life expectancy at birth: women,Austria,2012,Years,Units,83.600000
 Life expectancy at birth: women,Austria,2013,Years,Units,83.800000
 Life expectancy at birth: women,Austria,2014,Years,Units,84.000000
 Life expectancy at birth: women,Austria,2015,Years,Units,83.700000
Real value added in construction,Greece,2011,Growth rate,Units,-26.463353
Real value added in construction,Greece,2012,Growth rate,Units,-5.765035
Real value added in construction,Greece,2013,Growth rate,Units,-18.379643
Real value added in construction,Greece,2014,Growth rate,Units,-13.072978
Real value added in construction,Greece,2015,Growth rate,Units,-4.486912
Re-exported intermediates: Transport equipment,Switzerland,2011,Percentage,Units,55.580000
Re-exported intermediates: Transport and storage; post and telecommunication,Norway,2011,Percentage,Units,41.800000
Students with at least one computer at home: standard-error,Greece,2012,Standard-error,Units,0.419342
Foreign students in total tertiary education,Turkey,2013,Percentage,Units,1.093054
Primary sector,Turkey,2011,Index,Units,0.013000
Primary sector,Turkey,2012,Index,Units,0.013000
Primary sector,Turkey,2013,Index,Units,0.013000
Primary sector,Turkey,2014,Index,Units,0.013000
Primary sector,Turkey,2015,Index,Units,0.013000
Transport,Russia,2011,Index,Units,0.350000
Transport,Russia,2012,Index,Units,0.350000
Transport,Russia,2013,Index,Units,0.350000
Transport,Russia,2014,Index,Units,0.350000
Transport,Russia,2015,Index,Units,0.350000
Media,New Zealand,2011,Index,Units,0.200000
Media,New Zealand,2012,Index,Units,0.200000
Media,New Zealand,2013,Index,Units,0.200000
Media,New Zealand,2014,Index,Units,0.200000
Media,New Zealand,2015,Index,Units,0.200000
Income inequality: P50/P10 disposable income decile ratio ,Poland,2011,Interdecile ratio P50/P10,Units,2.000000
Income inequality: P50/P10 disposable income decile ratio ,Poland,2012,Interdecile ratio P50/P10,Units,2.000000
Income inequality: P50/P10 disposable income decile ratio ,Poland,2013,Interdecile ratio P50/P10,Units,2.000000
Income inequality: P50/P10 disposable income decile ratio ,Poland,2014,Interdecile ratio P50/P10,Units,2.000000
Income inequality: P50/P10 disposable income decile ratio ,Poland,2015,Interdecile ratio P50/P10,Units,2.100000
Purchasing power parities,South Africa,2011,National currency per US dollar,Units,4.773938
Purchasing power parities,South Africa,2012,National currency per US dollar,Units,4.935225
Purchasing power parities,South Africa,2013,National currency per US dollar,Units,5.155736
Purchasing power parities,South Africa,2014,National currency per US dollar,Units,5.345785
Purchasing power parities,South Africa,2015,National currency per US dollar,Units,5.559277
Adjusted general government debt-to-GDP (including unfunded pension liabilities),Denmark,2011,Percentage,Units,60.111190
Adjusted general government debt-to-GDP (including unfunded pension liabilities),Denmark,2012,Percentage,Units,60.615180
Adjusted general government debt-to-GDP (including unfunded pension liabilities),Denmark,2013,Percentage,Units,56.732190
Adjusted general government debt-to-GDP (including unfunded pension liabilities),Denmark,2014,Percentage,Units,59.141920
Adjusted general government debt-to-GDP (including unfunded pension liabilities),Denmark,2015,Percentage,Units,53.428330
Pupils enrolled in pre-primary education (ISCED 02) as a percentage of total enrolment in early childhood education (ISCED 01+ ISCED 02) ,Luxembourg,2013,Percentage,Units,100.000000
 Life expectancy at birth: total,Spain,2011,Years,Units,82.600000
 Life expectancy at birth: total,Spain,2012,Years,Units,82.500000
 Life expectancy at birth: total,Spain,2013,Years,Units,83.200000
 Life expectancy at birth: total,Spain,2014,Years,Units,83.300000
 Life expectancy at birth: total,Spain,2015,Years,Units,82.900000
International students in Bachelorâ€™s or equivalent level,Chile,2013,Percentage,Units,0.064504
Electricity,Ireland,2011,Index,Units,0.000000
Electricity,Ireland,2012,Index,Units,0.000000
Electricity,Ireland,2013,Index,Units,0.000000
Electricity,Ireland,2014,Index,Units,0.000000
Electricity,Ireland,2015,Index,Units,0.000000
Financial services,United Kingdom,2011,Index,Units,0.002000
Financial services,United Kingdom,2012,Index,Units,0.002000
Financial services,United Kingdom,2013,Index,Units,0.002000
Financial services,United Kingdom,2014,Index,Units,0.002000
Financial services,United Kingdom,2015,Index,Units,0.002000
Population aged 25-64 below upper secondary,South Africa,2014,Percentage,Units,58.306366
Number of 15-year-old students per school computer: standard-error,Russia,2012,Standard-error,Units,0.117970
Students browsing the Internet for schoolwork at least once a week : standard-error (at school),Australia,2012,Standard-error,Units,0.563130
Number of enterprises in manufacturing with 20-49 persons engaged,Slovak Republic,2012,Percentage,Units,1.865543
Number of enterprises in manufacturing with 50-249 persons engaged,Brazil,2012,Percentage,Units,5.758985
Re-exported intermediates: Basic metals and fabricated metal products,Canada,2011,Percentage,Units,53.800000
Value added in professional; scientific; technical; administration and support services activities,Sweden,2011,Percentage,Units,10.341368
Value added in professional; scientific; technical; administration and support services activities,Sweden,2012,Percentage,Units,10.569832
Value added in professional; scientific; technical; administration and support services activities,Sweden,2013,Percentage,Units,10.943213
Value added in professional; scientific; technical; administration and support services activities,Sweden,2014,Percentage,Units,11.065906
Value added in professional; scientific; technical; administration and support services activities,Sweden,2015,Percentage,Units,11.194645
